KBA-Referenznummer;Rckrufcode des Herstellers;Verffentlichungsdatum;Marke;Modell;Mangelbezeichnung;Produktionszeitraum von;Produktionszeitraum bis;Rckrufseite des Herstellers;Mangelbeschreibung;Titel der Manahme;Beschreibung der Manahme;Mgliche Eingrenzung der betroffenen Modelle;Bekannte Vorflle mit Sach- und/oder Personenschden;Anzahl potentiell betroffene Fahrzeugteile weltweit;Anzahl potentiell betroffene Fahrzeugteile
8744;E19-1900920 (19-C-033);43567;OPEL;COMBO;Falsche Ausrichtung der Ratsche zu der Sperrklinke des Handbremshebels;2017;2019;N/A;Eine möglicherweise falsche Ausrichtung der Ratsche zu der Sperrklinke des Handbremshebels kann gegebenenfalls dazu führen, dass der Handbremshebel beim Betätigen nicht einrastet und somit nicht in Position bleibt oder nach der Betätigung nur kurzfristig in Position bleibt und sich dann selbständig löst.;N/A;Überprüfung des Handbremshebelmechanismus und ggf. Ersetzen des Handbremshebels.;-;Nein;7676;N/A
7606;13_666244;43137;HUSQVARNA;FS450;Defekter Bremsgeber an vorderer Bremse führt zu nachlassender Bremswirkung.;2015;2017;N/A;Defekter Bremsgeber an vorderer Bremse führt zu nachlassender Bremswirkung.;;;N/A;N/A;N/A;1
7217;5491835;42934;MERCEDES-BENZ;S-KLASSE;Mangelhaft verlegte Bordnetzleitung kann zum Kurzschluss und zum Brand führen.;2017;2017;N/A;Mangelhaft verlegte Bordnetzleitung kann zum Kurzschluss und zum Brand führen.;N/A;Nacharbeitung der Bordnetzleitung im Beifahrerfußraum .;N/A;N/A;91;78
8514;18SMD-133;43496;TOYOTA;VERSO, AURIS, AVENSIS, RAV4;Fehlerhaftes Anzugsdrehmoment der Einspritzdüsenhalter kann zum Kraftstoffaustritt führen.;2014;2018;N/A;Fehlerhaftes Anzugsdrehmoment der Einspritzdüsenhalter kann zum Kraftstoffaustritt führen.;;;N/A;N/A;1938;70
8504;3191017;43495;MERCEDES-BENZ;A-KLASSE, B-KLASSE, GLB, CLA;Bruch des Sperrbolzens der Anhängevorrichtung kann zum Verlust der Fahrzeugverbindung führen.;2018;2018;N/A;Bruch des Sperrbolzens der Anhängevorrichtung kann zum Verlust der Fahrzeugverbindung führen.;N/A;Anhängevorrichtung wird überprüft und ggf. getauscht.;keine;keine;2984;1855
7852;3396938;43238;MERCEDES-BENZ;G-KLASSE;Fehlerhaft montierter oder fehlender Sicherungsring an der rechten Seitenwelle der Vorderachse;2017;2018;N/A;Durch einen fehlerhaft montierten oder fehlenden Sicherungsring an der rechten Seitenwelle der Vorderachse kann es zu einem Kontakt der Seitenwelle mit der Verzahnung des Vorderachsgetriebes kommen. Dies kann zu einer Blockade des vorderen rechten Rades führen.;;;N/A;N/A;80;64
7987;8298842;43272;MERCEDES-BENZ;E-KLASSE;Absetzen eines Notrufes über die eCall-Funktion - Fahrzeugposition;2017;2018;N/A;Unter bestimmten Voraussetzungen wird beim Absetzen eines Notrufes über die eCall-Funktion die zuletzt gespeicherte und nicht die tatsächliche Fahrzeugposition an die Mercedes-Benz Notrufzentrale übermittelt. Rettungskräfte könnten in diesem Fall nicht zum Fahrzeug geführt werden.;;;N/A;N/A;10091;1366
7013;AG021A;42852;MAZDA;3;Nicht der Spezifikation entsprechende Verbindung zwischen Tank und Kraftstoffeinfüllstutzen kann zum Austritt von Kraftstoff führen.;2015;2015;N/A;Nicht der Spezifikation entsprechende Verbindung zwischen Tank und Kraftstoffeinfüllstutzen kann zum Austritt von Kraftstoff führen.;N/A;Der Kraftstoffeinfüllstutzen wird überprüft und ggf. gegen einen modifizierten Kraftstofftank ersetzt.;N/A;N/A;5876;1630
7830;7830;43362;PIAGGIO;BEVERLY, FUOCO, SRV, MP3, X EVO;Fehlerhafte Kraftstofftanks können zu Kraftstoffaustritt führen.;2016;2017;N/A;Fehlerhafte Kraftstofftanks können zu Kraftstoffaustritt führen.;N/A;Austausch des Tanks;N/A;N/A;11758;822
7738;86.60U10682;43181;EVOBUS;TOURISMO;Küchenmodelle erfüllen nicht vollumfänglich die Anforderungen der UN R-21. Im Falle eines Unfalls kann es somit zur Erhöhung der Verletzungsgefahr für Fahrzeuginsassen auf der Sitzreihe hinter der Küche kommen.;2016;2018;N/A;Küchenmodelle erfüllen nicht vollumfänglich die Anforderungen der UN R-21. Im Falle eines Unfalls kann es somit zur Erhöhung der Verletzungsgefahr für Fahrzeuginsassen auf der Sitzreihe hinter der Küche kommen.;N/A;Ausrüstung der Sitze hinter der Küche mit Sicherheitsgurten.;N/A;N/A;N/A;15
7123;H026;42930;JAGUAR;F-TYPE;Ausfall der vorderen Fahrtrichtungsanzeiger ohne Ausfallanzeige.;2016;2017;N/A;Ausfall der vorderen Fahrtrichtungsanzeiger ohne Ausfallanzeige.;N/A;Aktualisierung des Scheinwerfer-Steuergerätes.;N/A;N/A;2692;303
8405;4693002;43474;MERCEDES-BENZ;GLC, E-KLASSE, C-KLASSE;Fehlerhafter Sensor kann zum Ausfall der elektrischen Lenkkraftunterstützung führen.;2018;2018;N/A;Fehlerhafter Sensor kann zum Ausfall der elektrischen Lenkkraftunterstützung führen.;N/A;Erneuerung der elektrischen Servolenkung.;N/A;N/A;390;81
8408;4693003;43483;MERCEDES-BENZ;CLS, C-KLASSE, E-KLASSE;Eine möglicherweise vorgeschädigte Sicherungsmutter am Lenkgetriebe kann unter bestimmten Belastungen brechen und in der Folge zu einer Blockierung des Lenkgetriebes führen.;2014;2018;N/A;Eine möglicherweise vorgeschädigte Sicherungsmutter am Lenkgetriebe kann unter bestimmten Belastungen brechen und in der Folge zu einer Blockierung des Lenkgetriebes führen.;N/A;Erneuerung der elektrischen Servolenkung.;N/A;N/A;89274;8960
8529;18SMD-129;44063;LEXUS;LX;Defekter Kabelbaum kann zur Deaktivierung der vorderen Beifahrerairbags führen.;2007;2018;N/A;Defekter Kabelbaum kann zur Deaktivierung der vorderen Beifahrerairbags führen.;;;LX570;N/A;N/A;0
8729;72I9;43580;SKODA;KAROQ;Durch einen möglicherweise fehlenden Verriegelungsstift an einzelnen Kopfstützen für den mittleren Sitzplatz im Fond kann die Stütz- und Schutzwirkung der Kopfstütze auf dieser Position eingeschränkt sein.;2018;2018;N/A;Durch einen möglicherweise fehlenden Verriegelungsstift an einzelnen Kopfstützen für den mittleren Sitzplatz im Fond kann die Stütz- und Schutzwirkung der Kopfstütze auf dieser Position eingeschränkt sein.;N/A;Die betroffenen Kopfstützen werden überprüft und ggf. ausgetauscht.;keine;keine bekannt;4571;1028
8426;0D0E;44110;DACIA;LOGAN, DOKKER, SANDERO, LODGY;Durch einen fehlerhaften Schweißprozess kann im Bereich des Hitzeschilds ein Loch im Katalysatorgehäuse vorhanden sein. Es kann zu Abweichungen bei den Emissionsvorschriften und zu einem Fahrzeugbrand kommen.;2018;2018;N/A;Durch einen fehlerhaften Schweißprozess kann im Bereich des Hitzeschilds ein Loch im Katalysatorgehäuse vorhanden sein. Es kann zu Abweichungen bei den Emissionsvorschriften und zu einem Fahrzeugbrand kommen.;;;N/A;N/A;355;0
8583;19U02;43545;FORD;FOCUS;Durch das Absenken der Seitenscheiben können sich die hinteren Türen unbeabsichtigt öffnen.;2013;2019;N/A;Durch das Absenken der Seitenscheiben können sich die hinteren Türen unbeabsichtigt öffnen.;N/A;Überprüfung der korrekten Funktion der hinteren Türverriegelungen.;N/A;N/A;17636;7356
7436;NXC;43052;CITROEN;C4 AIRCROSS;Durch Korrosion geschädigte Heckklappendämpfer können die Heckklappe nicht mehr geöffnet halten.;2011;2016;N/A;Durch Korrosion geschädigte Heckklappendämpfer können die Heckklappe nicht mehr geöffnet halten.;N/A;Austausch der Heckklappendämpfer.;N/A;N/A;3495;35
8570;N276;43516;LAND ROVER;DISCOVERY, RANGE ROVER, RANGE ROVER VELAR, RANGE ROVER SPORT;Ein Fertigungsfehler führt zu Beschädigung der Kurbelwelle und infolgedessen zum Motorausfall.;2018;2018;N/A;Ein Fertigungsfehler führt zu Beschädigung der Kurbelwelle und infolgedessen zum Motorausfall.;;;Nur o.g. Modellen mit AJ-126 (3,0l-V6) und AJ-133 (5,0l-V8) Ottomotoren. Die entsprechenden Fahrzeuge sind zwischen dem 10.10. und 19.12.2018 gefertigt worden.;N/A;6451;75
8712;19SMD-009;43651;LEXUS;LS;Durch eine Problematik während der Reifenmontage besteht die Möglichkeit, dass ein Riss in der Seitenwandverstärkung entstehen kann.;2017;2018;N/A;Durch eine Problematik während der Reifenmontage besteht die Möglichkeit, dass ein Riss in der Seitenwandverstärkung entstehen kann.;N/A;Die Reifen werden ausgetauscht.;LS500 und LS500h;Nicht bekannt.;29000;60
8434;8228;43445;ALFA ROMEO;STELVIO;Ein nicht konformes Generatorkabel kann durch Kontakt mit der Abgasrückführleitung beschädigt werden. In der Folge kann dies zu einem Kurzschluss führen.;2017;2018;N/A;Ein nicht konformes Generatorkabel kann durch Kontakt mit der Abgasrückführleitung beschädigt werden. In der Folge kann dies zu einem Kurzschluss führen.;;;N/A;N/A;30932;1643
8438;U78;43446;JEEP;CHEROKEE;Fehlerhafte Wärmebehandlung des Lagerkäfigs der Halbwellenbaugruppe kann zum Bruch der Baugruppe und in der Folge zu einem Antriebsverlust führen.;2017;2018;N/A;Fehlerhafte Wärmebehandlung des Lagerkäfigs der Halbwellenbaugruppe kann zum Bruch der Baugruppe und in der Folge zu einem Antriebsverlust führen.;N/A;Austausch der betroffenen Halbwellenbaugruppe.;N/A;N/A;764;N/A
7015;0CFB;42852;N/A;;Mögliches Lösen der Abdeckung des Armaturenbrettes.;2015;2016;N/A;Mögliches Lösen der Abdeckung des Armaturenbrettes.;;;N/A;N/A;37543;3351
7016;0CBL;42852;RENAULT;TALISMAN;Mögliches Seitenziehen beim Bremsen bzw. verminderte Bremswirkung.;2015;2016;N/A;Mögliches Seitenziehen beim Bremsen bzw. verminderte Bremswirkung.;N/A;Bremsscheibe/Bremssattel sowie die Bremsbeläge werden ausgetauscht.;N/A;N/A;10261;246
7317;17S06;42985;FORD;FOCUS, C-MAX, KUGA;Fehler im Gasgenerator kann dazu führen, dass Seiten- und/oder Knie-Airbag bei einem Unfall nicht korrekt auslösen. Folglich ist das Verletzungsrisiko erhöht.;2015;2016;N/A;Fehler im Gasgenerator kann dazu führen, dass Seiten- und/oder Knie-Airbag bei einem Unfall nicht korrekt auslösen. Folglich ist das Verletzungsrisiko erhöht.;;;N/A;N/A;8391;1799
7000;NC3BLAFEDU;42846;MERCEDES-BENZ;SPRINTER;Nichtkonforme Blattfedern der Hinterradaufhängung können zum Verlust der Fahrstabilität führen.;2016;2016;N/A;Nichtkonforme Blattfedern der Hinterradaufhängung können zum Verlust der Fahrstabilität führen.;N/A;Tausch der Blattfederauflagen an der Hinterachse.;N/A;N/A;624;600
7043;Rückruf Starco;42866;SPROLL;DIVERSE;Reifenverformung kann zum Druckverlust führen.;2016;2016;N/A;Reifenverformung kann zum Druckverlust führen.;N/A;Austausch der Räder.;Es sind Anhänger des Produktionszeitraumes 15.06.2016 bis 01.12.2016 betroffen, auf denen Räder des Herstellers STARCO montiert wurden.Einachs ¿ Pritschenhochlader, Tandem ¿ Pritschenhochlader, Absenkanhänger ¿ Einachs, Kofferanhänger ¿ Einachs / TandemKipper ¿ Einachs / TandemUniversaltransporter / FahrzeugtransporterDrehschemelanhänger;N/A;59;1
7635;6169;43139;FIAT;500L;Fehlender Hitzeschutz der Abgasanlage;2017;2018;N/A;Fehlender Hitzeschutz der Abgasanlage ist nachzurüsten bzw. vorhandener Hitzeschutz kann an Kraftstoffleitung anliegen und muss nachgearbeitet werden, um Schäden an der Kraftstoffleitung zu vermeiden. In der Folge kann ein Fahrzeugbrand nicht ausgeschlossen werden.;;;N/A;N/A;N/A;N/A
8500;18U33;43475;FORD;FOCUS;Bruch eines Bolzens im Umlenkmechanismus des Bremspedals kann zum Verlust der Bremsfähigkeit führen.;2018;2018;N/A;Bruch eines Bolzens im Umlenkmechanismus des Bremspedals kann zum Verlust der Bremsfähigkeit führen.;N/A;Bauteil prüfen und ersetzen sofern erforderlich;N/A;N/A;35716;9858
8539;24DP;43509;AUDI;S5, A5, A4, S4, Q7, A6, A7, A8;Undichtigkeit am Kraftstoffverteiler kann zum Austritt von Kraftstoff führen.;2013;2018;N/A;Undichtigkeit am Kraftstoffverteiler kann zum Austritt von Kraftstoff führen.;N/A;Austausch der Kraftstoffverteiler.;-;Keine bekannt;186137;5318
7518;N/A;43143;EMERSON / TESCOM;CNG SYSTEM, 20-1100 SERIES;Die Gasdruckregler werden am Einschraubgewinde des Magnetventils infolge eines beschädigten O-Rings undicht. Es besteht die Gefahr, dass Gas austreten kann.;2017;2017;N/A;Die Gasdruckregler werden am Einschraubgewinde des Magnetventils infolge eines beschädigten O-Rings undicht. Es besteht die Gefahr, dass Gas austreten kann.;;;N/A;N/A;1916;1873
8229;34J1;43364;AUDI;R8;Ölaustritt unter bestimmten Fahrbedingungen kann durch Kontakt mit heißen Motorenteilen zu Brandentstehung führen.;2015;2018;N/A;Ölaustritt unter bestimmten Fahrbedingungen kann durch Kontakt mit heißen Motorenteilen zu Brandentstehung führen.;N/A;Getriebeöllüftung wird ausgetauscht;N/A;N/A;3340;1925
8488;72I3;43462;SKODA;OCTAVIA, KAROQ;Es kann eine Rücksitzlehne verbaut sein, bei der die Aufnahme für die Kopfstütze nicht den Anforderungen entspricht. In der Folge kann bei einem Unfall die Stütz- und Schutzwirkung der Kopfstütze eingeschränkt sein.;2018;2018;N/A;Es kann eine Rücksitzlehne verbaut sein, bei der die Aufnahme für die Kopfstütze nicht den Anforderungen entspricht. In der Folge kann bei einem Unfall die Stütz- und Schutzwirkung der Kopfstütze eingeschränkt sein.;N/A;Überprüfung und ggf. Austausch der Rücksitzlehne.;keine;keine bekannt;22722;5253
9877;68.00M20092A;43992;EVOBUS;CAPACITY, CITARO;Durch eine fehlerhafte Verklebung kann sich die Scheibe der im Fahrgastraum angebrachten Anzeigetafel lösen.;2014;2020;N/A;Durch eine fehlerhafte Verklebung kann sich die Scheibe der im Fahrgastraum angebrachten Anzeigetafel lösen.;N/A;Sicherung der Scheibe mit Schrauben und Spreizdübeln.;N/A;N/A;870;391
8707;GNA;43536;CITROEN;C1;Nichtkonformität des Herstellungsprozesses des Kraftstofftanks kann dazu führen, dass dieser aufbricht und undicht wird.;2018;2018;N/A;Nichtkonformität des Herstellungsprozesses des Kraftstofftanks kann dazu führen, dass dieser aufbricht und undicht wird.;N/A;Kontrolle der Fertigungsnummer des Tanks und bei Bedarf dessen Austausch.;keine;keine bekannt;32;30
9499;R-19-03;43851;POLARIS;RANGER;Ein gerissener Antriebsriemen könnte die Kraftstoffleitung beschädigen und in der Folge austretender Kraftstoff die Brandgefahr erhöhen.;2019;2019;N/A;Ein gerissener Antriebsriemen könnte die Kraftstoffleitung beschädigen und in der Folge austretender Kraftstoff die Brandgefahr erhöhen.;N/A;Eine verbesserte Halterung des Auslasskanals der Kupplung.;Diesel Motor;keine bekannt;1000;11
7559;70G6;43187;AUDI;A5, A4;Aluminium-Dekorleisten im unteren Bereich der vorderen oder hinteren Türverkleidungen können sich teilweise ablösen.;2015;2017;N/A;Aluminium-Dekorleisten im unteren Bereich der vorderen oder hinteren Türverkleidungen können sich teilweise ablösen.;N/A;Austausch der Aluminiumblenden an allen 4 Türen.;N/A;N/A;69904;17000
8205;5497636;43357;MERCEDES-BENZ;S-KLASSE;Fehlerhafte Parametrierung der Software der Multifunktionskamera kann zu Funktionseinschränkungen (Wegfall des aktiven Bremseneingriffes bei Spurverlassen) des aktiven Spurhalteassistenten führen.;2017;2018;N/A;Fehlerhafte Parametrierung der Software der Multifunktionskamera kann zu Funktionseinschränkungen (Wegfall des aktiven Bremseneingriffes bei Spurverlassen) des aktiven Spurhalteassistenten führen.;N/A;Die Software der Multifunktionskamera wird aktualisiert.;N/A;N/A;1830;284
8254;E181803000 (18-C-102);43383;OPEL;VIVARO;Ungenaue Produktion der Bauteile der Gurtführung kann zur Herabsetzung der Schutzfunktion der Sicherheitsgurte der dritten Sitzreihe führen.;2017;2018;N/A;Ungenaue Produktion der Bauteile der Gurtführung kann zur Herabsetzung der Schutzfunktion der Sicherheitsgurte der dritten Sitzreihe führen.;N/A;Die Sicherheitsgurte werden überprüft und ggf. wird die Position der Führungsschiene korrigiert.;N/A;N/A;310;220
7820;TI6158TR;43257;MAN;CITYLINER, SKYLINER, TOURLINER, LIONS COACH;Die elektrischen Leitungen für die USB-Ladesteckdose können mechanisch beschädigt werden, in der Folge könnte es zu einem Brand kommen.;2015;2016;N/A;Die elektrischen Leitungen für die USB-Ladesteckdose können mechanisch beschädigt werden, in der Folge könnte es zu einem Brand kommen.;N/A;Stilllegung der Ladebuchse;N/A;N/A;103;47
7964;ONSPOT-AUS;43580;MERCEDES-BENZ;ATEGO;Rotationsketten können sich lösen.;2017;2017;N/A;Rotationsketten können sich lösen.;N/A;Die Rotationsketten werden vorsorglich demontiert.;N/A;N/A;103;N/A
7301;RC-BREMS;42975;MERCEDES-BENZ;AXOR, ATEGO, AROCS, ACTROS;Vercrimpung des Bremsschlauches kann sich lösen. Folglich könnte die Bremswirkung teilweise ausfallen.;2017;2017;N/A;Vercrimpung des Bremsschlauches kann sich lösen. Folglich könnte die Bremswirkung teilweise ausfallen.;N/A;Bremsschläuche erneuern.;N/A;N/A;571;39
8497;VS4AHKTORQ (3191092);43532;MERCEDES-BENZ;X-KLASSE;Fehlerhafte Angaben in der Montageanleitung können zur Vorschädigung der Befestigungsschrauben der Anhängerkupplung führen.;2017;2019;N/A;Fehlerhafte Angaben in der Montageanleitung können zur Vorschädigung der Befestigungsschrauben der Anhängerkupplung führen.;N/A;Die Befestigungsschrauben werden erneuert und mit dem richtigen Drehmoment angezogen. Sollte es bereits zu einer Beschädigung der Schweißmuttern gekommen sein, werden diese ebenfalls erneuert.;keine;keine bekannt;19816;2599
8940;6234;43637;FIAT;TALENTO;Durch einen fehlerhaften Produktionsprozess kann es zu Undichtigkeiten am Kraftstofftank kommen.;2019;2019;N/A;Durch einen fehlerhaften Produktionsprozess kann es zu Undichtigkeiten am Kraftstofftank kommen.;;;N/A;N/A;549;48
9303;JQY;43766;PEUGEOT;3008;Fehlerhafte Befestigung des Sitzgurtes des mittleren Sitzplatzes im Fond bedingt eingeschränkte Rückhaltefunktion.;2019;2019;N/A;Fehlerhafte Befestigung des Sitzgurtes des mittleren Sitzplatzes im Fond bedingt eingeschränkte Rückhaltefunktion.;N/A;Kontrolle der unteren Halterung des hinteren mittleren Sicherheitsgurtes und bei Bedarf dessen Befestigung.;-;-;9;5
7594;BREMBO;43137;TM RACING;SMR;Defekter Bremsgeber an vorderer Bremse führt zu nachlassender Bremswirkung.;2015;2017;N/A;Defekter Bremsgeber an vorderer Bremse führt zu nachlassender Bremswirkung.;;;N/A;N/A;N/A;12
7595;20180129001;43160;HOREX;VR6;Defekter Bremsgeber an vorderer Bremse führt zu nachlassender Bremswirkung.;2017;2017;N/A;Defekter Bremsgeber an vorderer Bremse führt zu nachlassender Bremswirkung.;;;N/A;N/A;N/A;25
7653;71C071;43147;HYUNDAI;SANTA FE, TUCSON;Fehlerhafte Kraftstoffleitung kann zu Kraftstoffverlust im Motorraum führen.;2011;2011;N/A;Fehlerhafte Kraftstoffleitung kann zu Kraftstoffverlust im Motorraum führen.;N/A;Überprüfung und ggf. Austausch der fehlerhaften Bauteile;N/A;N/A;N/A;44
8132;50D9;43265;VW;POLO;Die im Fahrzeug beiliegende Abschleppöse kann aufgrund eines Fertigungsfehlers brechen.;2015;2017;N/A;Die im Fahrzeug beiliegende Abschleppöse kann aufgrund eines Fertigungsfehlers brechen.;N/A;Austausch der Abschleppöse;N/A;N/A;546183;111833
7701;N138;43185;LAND ROVER;DISCOVERY SPORT, RANGE ROVER SPORT, U. W., RANGE ROVER, RANGE ROVER EVOQUE, NEW DISCOVERY;Fehlerhaft gefertigtes Kraftstoffrail kann zum Kraftstoffaustritt im Motorraum führen.;2016;2018;N/A;Fehlerhaft gefertigtes Kraftstoffrail kann zum Kraftstoffaustritt im Motorraum führen.;;;und RANGE ROVER VELAR;N/A;17460;324
7890;AJ07;43406;PORSCHE;MACAN;Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems.;2014;2018;N/A;Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems.;;;3.0 l Diesel Euro 6;N/A;60432;13658
7282;1708U55W10;42958;MERCEDES-BENZ;UNIMOG;Nicht der Spezifikation entsprechende Hydraulikschläuche können platzen. Folglich kann das Hydrauliköl in den Verkehrsraum gelangen.;2014;2017;N/A;Nicht der Spezifikation entsprechende Hydraulikschläuche können platzen. Folglich kann das Hydrauliköl in den Verkehrsraum gelangen.;N/A;Die Rücklaufschläuche der Leistungshydraulik werden erneuert.;N/A;N/A;31;16
7586;R30343;43131;MITSUBISHI;OUTLANDER, ASX;Überhitzung eines Relais zur Motorsteuerung kann zum Ausfall des Motors führen.;2014;2015;N/A;Überhitzung eines Relais zur Motorsteuerung kann zum Ausfall des Motors führen.;;;N/A;N/A;624259;28029
7587;RA-07-0028;43151;ASTON MARTIN;VANQUISH, RAPIDE, DB9, DBS, VIRAGE;Kommunikationsfehler zwischen der Software des Motorsteuergeräts und dem Getriebesteuergerät;2007;2017;N/A;Ein Kommunikationsfehler zwischen der Software des Motorsteuergeräts (ECM, Engine Control Module) und dem Getriebesteuergerät (TCM, Transmission Control Module) kann dazu führen, dass sich die Parksperrenklinke des Getriebes nicht bewegt. Wenn sich die Parksperrenklinke des Getriebes nicht bewegt, kann es dazu kommen, dass das Fahrzeug aus der Parkposition heraus wegrollen kann.;;;N/A;N/A;N/A;1427
5832;16OSD-006;42426;TOYOTA;LAND CRUISER;Durch eine fehlerhafte Programmierung des Airbagsteuergerätes kann es zum ungewollten Auslösen der Kopfairbags und der Gurtstraffer kommen.;2002;2006;N/A;Durch eine fehlerhafte Programmierung des Airbagsteuergerätes kann es zum ungewollten Auslösen der Kopfairbags und der Gurtstraffer kommen.;N/A;Das Airbag Steuergerät wird gegen eines mit einer verbesserten Programmversion ersetzt.;N/A;N/A;360000;400
6127;J067;42538;JAGUAR;XJ, XF;Signalausfall Kurbelwellensensor führt zu Motorausfall.;2011;2013;N/A;Signalausfall Kurbelwellensensor führt zu Motorausfall.;;;N/A;N/A;3502;355
7763;6990038;43188;MERCEDES-BENZ;GLC;Die Gurtzunge kann bei den Fondaußensitzen in den Gurtschacht zwischen der C-Säulenverkleidung und der Fondseitenverkleidung eingezogen werden. Eine Verwendung des Gurtes ist dann nicht möglich;2015;2018;N/A;Die Gurtzunge kann bei den Fondaußensitzen in den Gurtschacht zwischen der C-Säulenverkleidung und der Fondseitenverkleidung eingezogen werden. Eine Verwendung des Gurtes ist dann nicht möglich;;;N/A;N/A;N/A;95
7044;19S24, jetzt 20S32;44447;FORD;MONDEO, GALAXY, S-MAX;Fehler im Gasgenerator des Fahrerairbags führt bei Airbagauslösung zu unkontrollierter Entfaltung und zum Lösen von Metallfragmenten, die die Insassen verletzen können.;2006;2017;N/A;Fehler im Gasgenerator des Fahrerairbags führt bei Airbagauslösung zu unkontrollierter Entfaltung und zum Lösen von Metallfragmenten, die die Insassen verletzen können.;N/A;Ersetzen aller betroffener Airbags.;N/A;N/A;1040804;141156
6008;BUGVR28/1;42487;BUGATTI;VEYRON;Mangelhaft verklebte Aluminium-Platte kann sich lösen und in den Verkehrsraum fallen.;2006;2014;N/A;Mangelhaft verklebte Aluminium-Platte kann sich lösen und in den Verkehrsraum fallen.;N/A;Bei den betroffenen Fahrzeugen werden die RPS Platten neu verklebt, mit Nieten gesichertund abgedichtet.;N/A;N/A;162;10
7735;88.60U10726A;43179;EVOBUS;SETRA;Aufgrund einer nicht ausreichend dimensionierten Geometrie der Schweißhalter können die Halter der Heckklappenscharniere brechen. Die Heckklappe kann daraufhin in den Verkehrsraum fallen.;2016;2019;N/A;Aufgrund einer nicht ausreichend dimensionierten Geometrie der Schweißhalter können die Halter der Heckklappenscharniere brechen. Die Heckklappe kann daraufhin in den Verkehrsraum fallen.;N/A;Überprüfung und ggf. Nacharbeit der Klappenbefestigung;N/A;N/A;2530;1016
7529;6790046;43088;MERCEDES-BENZ;A-KLASSE;Durch eine fehlerhafte Verklebung kann sich die Windschutzscheibe lösen.;2017;2017;N/A;Durch eine fehlerhafte Verklebung kann sich die Windschutzscheibe lösen.;N/A;Die Verklebung der Windschutzscheibe wird überprüft und ggf. nachgearbeitet.;N/A;N/A;267;23
7570;T73;43110;JEEP;COMPASS;Befestigungsmuttern können sich während der Auslösung des Beifahrer-Airbags lösen und die Insassen verletzen;2017;2017;N/A;Befestigungsmuttern können sich während der Auslösung des Beifahrer-Airbags lösen und die Insassen verletzen;;;N/A;N/A;N/A;2512
5999;16OSD-032;42493;LEXUS;IS, GS;Kraftstoffsensor wurde nicht mit korrektem Drehmoment angezogen. Folglich kann an der Dichtung Kraftstoff austreten. Beim Vorhandensein einer Zündquelle besteht Brandgefahr.;2003;2007;N/A;Kraftstoffsensor wurde nicht mit korrektem Drehmoment angezogen. Folglich kann an der Dichtung Kraftstoff austreten. Beim Vorhandensein einer Zündquelle besteht Brandgefahr.;N/A;Austausch der Dichtung des Kraftstoffdrucksensors und Anziehen mit dem richtigen Drehmoment.;GS300, IS250;N/A;390000;2505
6595;72G1;42702;AUDI;A4;Nicht korrekt ausgeführte Schweißverbindung an der Sitzlehne kann bei einem Heckaufprall zu einem erhöhten Verletzungsrisiko führen.;2016;2016;N/A;Nicht korrekt ausgeführte Schweißverbindung an der Sitzlehne kann bei einem Heckaufprall zu einem erhöhten Verletzungsrisiko führen.;N/A;An den betroffenen Fahrzeugen ist das Lehnengestell des Vordersitzes bzw. der Vordersitze zu prüfen und gegebenenfalls zu ersetzen.;N/A;N/A;1260;330
6162;CR121;42557;DUCATI;XDIAVEL;Fehlerhafte Montage der Hinterradfelge kann zum Antriebsverlust während der Fahrt führen.;2016;2016;N/A;Fehlerhafte Montage der Hinterradfelge kann zum Antriebsverlust während der Fahrt führen.;N/A;Überprüfung der Montage der Hinterradfelge und Installation der Fehlerschutz-Einsätze.;N/A;N/A;2852;258
6515;6068;42674;LANCIA;YPSILON;System zur Reifendrucküberwachung nicht aktiv.;2016;2016;N/A;System zur Reifendrucküberwachung nicht aktiv.;N/A;Aktualisierung der Software des Body Computers.;N/A;N/A;4935;0
6518;69O9;42774;VW;CRAFTER;Unkorrekte Verschraubung der Sicherheitsgurte der Fahrgastsitzbank im Fond führt bei einem Unfall zu erhöhter Verletzungsgefahr.;2016;2016;N/A;Unkorrekte Verschraubung der Sicherheitsgurte der Fahrgastsitzbank im Fond führt bei einem Unfall zu erhöhter Verletzungsgefahr.;N/A;An den betroffenen Fahrzeugen werden alle Gurtverschraubungen an den hinteren Sitzbänken im Fahrgastraum nachgezogen.;N/A;N/A;75;53
6642;T-16-03;42724;POLARIS;SLINGSHOT;Kraftstoffverlust kann zum Brand führen.;2014;2016;N/A;Kraftstoffverlust kann zum Brand führen.;N/A;Austausch der Kraftstoffleitung.;N/A;N/A;20452;58
8359;JED;43441;PEUGEOT;107;Es besteht die Möglichkeit, dass sich der Klebstoff, der die Scheibe an der hinteren Tür hält, löst. In diesem Fall ist die Scheibe nur an einem Befestigungspunkt befestigt und könnte in den Verkehrsraum fallen.;2005;2013;N/A;Es besteht die Möglichkeit, dass sich der Klebstoff, der die Scheibe an der hinteren Tür hält, löst. In diesem Fall ist die Scheibe nur an einem Befestigungspunkt befestigt und könnte in den Verkehrsraum fallen.;N/A;Auftrag von Kleber zwischen den beiden Scharnieren auf der Scheibe.;N/A;N/A;525682;22760
