Type of alert;Type;Alert number;Alert submitted by;Country of origin;Counterfeit;Risk type;Risk legal provision;Product;Name;Description;Brand;Category;Type / number of model;OECD Portal category;Risk;Compulsory measures;Voluntary measures;Products were found and measures were taken also in;Company recall page;Barcode;Batch number;Company recall code (**);Production dates (**);Packaging description
Serious risk;Consumer;A12/00678/21;Germany;United States;No;Fire; ;Passenger car;Grand Cherokee;Passenger car;Jeep;Motor vehicles;Individual approval;77000000 - Automotive;"Cracks may form in the EGR cooler. 
This could increase the risk of the vehicle catching fire.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Sweden, Slovenia;;;;W79;The affected vehicles were manufactured between 19 December 2012 and 17 January 2019.;
Serious risk;Consumer;A12/00677/21;Germany;Unknown;No;Injuries; ;Passenger car;C4;Car;CITROEN;Motor vehicles;Type: B, e9*2007/46*6816*02, e9*2007/46*6816*04;77000000 - Automotive;"The threads of the wheel bolts may be defective.
This could lead to the detachment of a wheel, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";France, Poland, Portugal;;;;HQM;The affected vehicles were manufactured on 10 and 11 February 2021.;
Serious risk;Consumer;A12/00775/21;Germany;France;No;Injuries; ;Passenger car;Corsa;Passenger car;Opel;Motor vehicles;Type: U, e2*2007/46*0639*08 , e2*2007/46*0639*11 ;77000000 - Automotive;"Incorrect rims may be mounted due to incorrect information on the off-sets for the 16-inch and 17-inch wheel rims stated in the EC Certificate of Conformity (CoC).
As a result, contact between tyre and body can occur, which could cause a tyre to or burst due to the internal pressure and lead to increased risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Finland, Greece, Croatia, Hungary, Luxembourg, Poland, Portugal, Sweden, Slovenia, Slovakia;;;;E202006770 (21-C-021);The affected vehicles were manufactured between 19 December 2019 and 31 July 2020.;
Serious risk;Consumer;A12/00774/21;Germany;Spain;No;Injuries; ;Passenger van / Light commercial vehicle;Vito, V-Class;Passenger van / Light commercial vehicle;Mercedes-Benz;Motor vehicles;Types: 639/2, 639/4, 639/5, e1*2007/46*0457*25, e1*2007/46*0457*27, e1*2007/46*0458*20, e1*2007/46*0459*13;77000000 - Automotive;"The bolted connection of the center support to the roof rail may become loose.
As a result, the roof load could become detached while the vehicle is in motion or in the event of a crash, leading to increased risk of injury and posing a threat to other road users.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Estonia, Finland, France, Hungary, Poland, Portugal, Slovenia, Slovakia;;;;VS2DACHTRA;The affected vehicles were manufactured between 17 September and 18 November 2020.;
Serious risk;Consumer;A12/00730/21;Germany;Germany;No;Injuries; The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;CLA, GLA, A-Class, C-Class, S-Class, GLC, GLE;"Vehicles fitted with a panoramic roof;
Model series: CLA (BR 117), GLA (BR 156), A-class (BR 176), C-class (BR 205), S-class (BR 222), GLC (BR 253), GLE Coupé (BR 292) ";Mercedes-Benz;Motor vehicles; e1*2001/116*0463*14 – 20, e1*2001/116*0335*19 – 46, e1*2001/116*0396*09 – 20, e1*2001/116*0480*16 – 40, e1*2007/46*1884*00, e1*2007/46*0598*16 – 26, e1*2007/46*0826*07 – 13, Types: 245 G, 245 G AMG, 176, 176 AMG, 204, 204 AMG, 204 K, 204 K AMG, 221, 221 AMG, 204 X, 204 X AMG, 166, 166 AMG, e1*2001/116*0470*04 - 23, 06 - 25, 00 - 20, e1*2007/46*1207*00 - 09, e1*2007/46*0928*00 - 04, e1*2007/46*1163*00, e1*2001/116*0431*29 - 61, e1*2001/116*0464*15 - 22, e1*2001/116*0457*25 - 51;77000000 - Automotive;"The polycarbonate roof panel located between the windscreen and the panoramic roof may not have been bonded correctly to the vehicle during a prior repair. 
In such cases, the adhesive bonding could gradually deteriorate and the panel could become detached from the vehicle, posing a risk to other road users. ";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, France, Greece, Croatia, Ireland, Luxembourg, Poland, Portugal, Romania, Sweden, Slovakia;;;;7790003, 7790004;The affected vehicles were manufactured between 2 July 2012 to 21 October 2020.;
Serious risk;Consumer;A12/00736/21;Germany;Slovakia;No;Fire, Injuries; ;Passenger car;Sportage;Vehicles, which are not equipped with smart cruise control (SCC).;Kia;Motor vehicles;e5*2007/46*1081, Type: QLE;77000000 - Automotive;"A short circuit can occur in the Anti-lock Braking System (ABS)/Electronic Stability Program (ESP) module.
This could lead to an excessive current flow that can increase the risk of fire in the engine compartment. ";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, France, Greece, Croatia, Ireland, Luxembourg, Poland, Portugal, Romania, Sweden, Slovenia, Slovakia;;;;;The affected vehicles were manufactured between 19 March 2015 and 23 October 2020.;
Serious risk;Consumer;A12/00732/21;Germany;Germany;No;Injuries; ;Passenger car;B-Class;Model series: BR 247;Mercedes-Benz;Motor vehicles;e1*2007/46*1909*00, Type: F2B;77000000 - Automotive;"The front seats may not be sufficiently stable. 
As a result, the seat and its occupant could move more than expected in the event of a crash, leading to increased risk of injury. ";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;https://www.Mercedes-Benz.de;;;9190014;The affected vehicles were manufactured between 23 August and 28 September 2018.;
Serious risk;Consumer;A12/00729/21;Germany;Japan;No;Fire; ;Passenger car;LC200, LX;Passenger car;Toyota, Lexus;Motor vehicles;Toyota: e6*2001/116*0112*07, Type: J20(a), Lexus: Individual approval;77000000 - Automotive;"The electrically heated windscreen washer jets could form cracks due to the use of an unsuitable sealant. 
As a result, water could enter into the heating element and cause a short circuit,  increasing the risk of fire. ";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Romania, Sweden, Slovakia;;;;20SMD-116;The affected vehicles were manufactured between 18 December 2012 to 9 February 2018.;
Serious risk;Consumer;A12/00788/21;France;Spain;No;Injuries; The product does not comply with the requirements laid down in the Regulation on the approval and market surveillance of Motor Vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Berlingo;Passenger car.;Citroën;Motor vehicles;Type: K9, e2*2007/46*0624*10, e2*2007/46*0625*11;77000000 - Automotive;"The clipping of the control button of the hand-brake restraint system might be incorrect.

Consequently, the hand-brake might not be correctly engaged when used, leading to the vehicle to spontaneously move when parked, increasing the risk of accident or injuries to by-passers.

";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 19/04/2021";Bulgaria, Croatia, Luxembourg, Malta, Poland, Portugal, Slovenia;;;;HPX;The affected vehicles were manufactured between 19 February 2021 and 4 March 2021.;
Serious risk;Consumer;A12/00773/21;Germany;Germany;No;Fire, Injuries; ;Passenger car;E-Class, AMG GT;"Vehicles with AMG petrol engine and 4MATIC; Model series:  E-Class (BR 213), AMG GT 4-Door Coupé (BR 290) ";Mercedes-Benz;Motor vehicles;"e1*2001/116*0501*31 - *49, e1*2007/46*1560*04 - *22, e1*2007/46*1878*00 - *11; Types: 212, R1ES, R1EAMG";77000000 - Automotive;"Due to a defective screw connection, the starter motor positive cable may become damaged by the relative movements of the starter.
Consequently, the cable could come into contact with the housing of the starter and cause a short circuit, which could lead to an engine stall and increased risk of fire. ";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Estonia, Finland, Croatia, Hungary, Ireland, Luxembourg, Poland, Portugal, Romania, Sweden, Slovenia, Slovakia;http://www.Mercedes-Benz;;;5491302;The affected vehicles were manufactured between 15 February 2017 and 27 November 2020.;
Serious risk;Consumer;A12/00789/21;France;Spain;No;Injuries; The product does not comply with the requirements laid down in the Regulation on the approval and market surveillance of Motor Vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Rifter, Partner;Passenger car;Peugeot;Motor vehicles;e2*2007/46*0624*10, e2*2007/46*0625*11;77000000 - Automotive;The clipping of the control button of the hand-brake restraint system might be incorrect. Consequently, the hand-brake might not be correctly engaged when used, leading to the vehicle to spontaneously move when parked, increasing the risk of accident or injuries to by-passers.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 19/04/2021";Bulgaria, Denmark, Greece, Croatia, Hungary, Ireland, Malta, Poland, Portugal, Slovakia;;;;KLC;The affected vehicles were manufactured from 19 February 2021 to 4 March 2021.;
Serious risk;Consumer;A12/00790/21;France;Spain;No;Injuries;The product does not comply with the requirements laid down in the Regulation on the approval and market surveillance of Motor Vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Combo;Passenger car;Opel;Motor vehicles;e2*2007/46*0622*10, e2*2007/46*0623*11;77000000 - Automotive;The clipping of the control button of the hand-brake restraint system might be incorrect. Consequently, the hand-brake might not be correctly engaged when used, leading to the vehicle to spontaneously move when parked, increasing the risk of accident or injuries to by-passers.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 22/04/2021";Bulgaria, Greece, Hungary, Sweden, Slovenia, Slovakia;;;;21-C-062;The affected vehicles were manufactured from 19 February 2021 to 4 March 2021.;
Serious risk;Consumer;A12/00728/21;Germany;France;No;Injuries; ;Passenger car;Grandland;Passenger car;Opel;Motor vehicles;Type: Z, e2*2007/46*0597*02  , e2*2007/46*0597*18  ;77000000 - Automotive;The trailer coupling device may be detective. This can cause the trailer to detach inadvertently, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, France, Greece, Croatia, Ireland, Luxembourg, Poland, Portugal, Sweden, Slovakia;;;;E212100021 (21-C-050);The affected vehicles were manufactured between 7 November 2017 and 29 December 2020.;
Serious risk;Professional;A12/00731/21;Germany;Sweden;No;Injuries;;Lorry combination;R500, S730;Lorry combination;Scania;Motor vehicles;"Models: 4x2, 4x4, 4x4+2, 6x2, 6x4, 6x6, 8x2, 8x4, 6x2/4, 8x2/4, 6x2*4, 8x2*6, 8x2-2,8x2/*6, 8x4+4, 6x2/2, 6x4/4, 6x4*4, 8x4/4, 8x4*6, 8x4-2, 8x6, 8x6/4, 8x6+2, 8x8, 8x8-2, 10x4*6, 10x4/6., Type-approval numbers: e4*130/2012*130/2012*0025*05; e4*595/2009*627/2014C*0015*03; e4*595/2009*2018/932D*0015*07";77000000 - Automotive;Defective fastening of the tilt cylinder may cause unintentional tilting of the driver's cab.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, Greece, Croatia, Ireland, Sweden, Slovenia;;;;RC201850;From 01/01/2019 to 30/12/2020;
Other types of alerts;Professional;INFO/00117/21;Germany;Germany;No;Fire, Injuries; ;Passenger van / Light commercial vehicle;Sprinter;Car/van;Mercedes-Benz;Motor vehicles;Types: 906 AC 35, 906BA50, 906BB50, 906BA35, 906BB35, e1*2001/116*0354*22 - *25, e1*2007/46*0294*11 - *13, e1*2007/46*0296*11 - *13, e1*2007/46*0300*15 - *18, e1*2007/46*0301*17 - *20;77000000 - Automotive;"The fuse configuration may be incorrectly documented in the owner’s manual and service documentation.
As a result, a fuse could be changed incorrectly and cause increased electricity flow, leading to cable scorching and increased risk of fire or accident. 
";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, France, Croatia, Poland, Portugal, Slovenia, Slovakia;;;;VS3SILUF;The affected vehicles were manufactured between 18 September 2018 and 18 November 2019.;
Serious risk;Consumer;A12/01112/21;Germany;Italy;No;Injuries; ;Light commercial vehicle;Daily;Light commercial vehicle;Iveco;Motor vehicles;Models: IS35CC2AA IS35CI2AA IS35SC2AA IS35SI2AA IS36SC2AA IS52CC2AA IS52CI2AA IS52CI2BA IS56AC2DA IS56CC2BA IS70CC2BA IS70CI2BA, Type-approval numbers: e3*2007/46*0168*13 e3*2007/46*0115*12 e3*2007/46*0120*15 e3*2007/46*0120*14 e3*2007/46*0120*17 e3*2007/46*0119*15 e3*2007/46*0123*12 e3*2007/46*0119*17 e3*2007/46*0118*15 , e3*2007/46*0116*14 e3*2007/46*0117*14 e3*2007/46*0118*17, e3*2007/46*0118*14 e3*2007/46*0122*14 e3*2007/46*0122*15 e3*2007/46*0117*13 e3*2007/46*0115*13 e3*2007/46*0152*13 e3*2007/46*0151*13 e3*2007/46*0151*12;77000000 - Automotive;Due to a faulty software, the status of the passenger airbag may not be correctly displayed. As a result, the airbag function may be deactivated without the knowledge of the occupants, increasing the risk of injury in the event of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, Croatia, Hungary, Ireland, Portugal, Sweden, Slovenia;https://www.iveco.com;;;20T;19/04/2019 to 30/10/2019;
Serious risk;Consumer;A12/00737/21;Portugal;Morocco;No;Injuries; ;Passenger car;Logan, Sandero;"Model: Logan III and Sandero III;
Countries of production: Morocco and Romania.";Dacia;Motor vehicles;"Logan (Pitesti): e19*2007/46*0026*01; e19*2007/46*0026*02;, Sandero (Pitesti): e19*2007/46*0026*00; e19*2007/46*0026*01; e19*2007/46*0026*02; e19*2007/46*0026*03; e19*2007/46*0026*04;, Sandero (Tanger): e19*2007/46*0026*00; e19*2007/46*0026*01; e19*2007/46*0026*02.";77000000 - Automotive;"The front bonnet lock striker wire may be defective.
This could lead to the bonnet opening while driving, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Distributor
Category of measure(s): Recall of the product from end users
Date of entry into force: 18/05/2021";Bulgaria, Denmark, Finland, France, Greece, Croatia, Poland, Romania, Sweden, Slovenia;;;;0DLP;"Logan manufactured in the Pitesti Factory between 05/11/2020 and 23/12/2020;   
Sandero manufactured in the Pitesti Factory between 02/09/2020 and 13/01/2021;  - Sandero manufactured in the TANGER Factory between 08/10/2020 and 15/01/2021.";
Serious risk;Consumer;A12/00755/21;Germany;Germany;No;Injuries; ;Passenger van / Light commercial vehicle;Sprinter;Passenger van / Light commercial vehicle;Mercedes-Benz;Motor vehicles;906BB50/4x4, 906BB35/4x4, 906BB50/4x4, 906BA50/4x4, 906BA35/4x4, 906BB35/4x4, 906BA50/4x4, 906BA35/4x4, 906BB35G, 906BA35G, 906FUT35, 906FUT35, 906BA50G, Types: 06 AC 30, 906 AC 35, 906 AC 35/4x4, 906BB30, 906BA30, 906BA50, 906BB50, 906BB50, 906BA35, 906BB35, 906BA50, 906BA35, 906BB35,, e1*2001/116*0353*18, e1*2001/116*0354*20, e1*2001/116*0424*14 - *17, e1*2007/46*0279*11, e1*2007/46*0280*10, e1*2007/46*0294*08, e1*2007/46*0295*11, e1*2007/46*0296*08, e1*2007/46*0297*09,, e1*2007/46*0298*10, e1*2007/46*0299*11, e1*2007/46*0300*13, e1*2007/46*0301*14 - *15, e1*2007/46*0304*05 - *08, e1*2007/46*0305*10 - *13, e1*2007/46*0307*08, e1*2007/46*0308*05 - *09,, e1*2007/46*0309*07, e1*2007/46*0310*07, e1*2007/46*0311*08, e1*2007/46*0312*11 - *15, e1*2007/46*0556*07, e1*2007/46*0557*08, e1*2007/46*1075*05, e1*2007/46*1076*06, e1*2007/46*1093*05;77000000 - Automotive;"The hydraulic power steering assistance may be defective and could fail.
This will lead to increased risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Finland, France, Greece, Luxembourg, Poland, Portugal, Sweden;;;;NV3LETULPX (469508);The affected vehicles were manufactured between 15 January 2017 and 4 March 2021.;
Serious risk;Consumer;A12/00754/21;Germany;Germany;No;Injuries; ;Passenger car;Tiguan;Passenger car;VW;Motor vehicles;Type: 5N, e1*2001/116*0450*00, *25 - *41, e1*2007/46*0487*00, *15 - *17;77000000 - Automotive;"The towbar swivel mechanism may have a defective locking pin.
As a result, the pin could break while driving, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, France, Greece, Croatia, Ireland, Iceland, Malta, Poland, Portugal, Romania, Sweden, Slovenia, Slovakia;;;;66M6;The affected vehicles were manufactured between 23 February 2016 and 14 March 2019.;
Serious risk;Consumer;A12/00752/21;Germany;Germany;No;Injuries; ;Passenger car;A4, A5, A6, A7;Passenger car;Audi;Motor vehicles;e1*2007/46*1801*, e1*2001/116*0430*, Types: F2, B8;77000000 - Automotive;"The vehicles may be fitted with a towbar with a swivel mechanism that may have a defective locking pin.
As a result, the pin could break while driving, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, France, Croatia, Ireland, Poland, Portugal, Romania, Sweden, Slovenia, Slovakia;;;;66M7;January 2018, plus accessory retrofits from August 2015 to December 2018;
Serious risk;Consumer;A12/00750/21;Germany;Italy;No;Injuries; ;Passenger car;Aventador;Passenger car;Lamborghini;Motor vehicles;e3*KS07/46*0075*, Type: 834;77000000 - Automotive;"The hood hinge could be defective and may not hold the hood closed as designed while the vehicle is in motion. 
As a result, the hood may flip open without warning and could fully detach from the vehicle, posing a risk to the following traffic.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Poland, Portugal, Sweden;;;;L734-R.01.21;The affected vehicles were manufactured between 31 March 2017 and 15 January 2021.;
Serious risk;Consumer;A12/00751/21;Germany;Portugal;No;Injuries; ;Passenger car;T-Roc;Passenger car;VW;Motor vehicles;e13*2007/46*1845*, Type: A1;77000000 - Automotive;"The retractor of the front right seatbelt may be defective.
As a result, the seat belt may fail to lock when the car brakes strongly or if it tips to the side, leading to increased the risk of injury.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Finland, France, Greece, Croatia, Ireland, Poland, Portugal, Slovenia, Slovakia;;;;69BX;The affected vehicles were manufactured between 24 February and 10 March 2021.;
Other types of alerts;Consumer;INFO/00118/21;Germany;United States;No;Injuries; ;Passenger car;Grand Cherokee;Passenger car;Jeep;Motor vehicles;e4*2007/46*0186*24, Type: WK;77000000 - Automotive;"Due to the use of defective materials, the crankshaft position sensor’s signalling may be incorrect. 
As a result the engine will not be able to function. ";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";France, Luxembourg, Romania;;;;W90;The affected vehicles were manufactured between 31 May 2014 and 10 February 2020.;
Serious risk;Consumer;A12/00804/21;Germany;Germany;No;Fire; ;Passenger car;Passat GTE, Arteon eHybrid;Passenger car;VW;Motor vehicles;Type: 3C, 3H, e1*2001/116*0307*62 -*68, e1*2007/46*1725*13 - *17;77000000 - Automotive;"The connections of the 12V positive battery cable and of the battery monitoring system cable to the main fuse box may have been swapped round.
As a result, the 12V positive battery cable will not be properly fused In the event of a short circuit, e.g. following an accident, and its temperature would exceed the permitted value, leading to increased risk of fire. ";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, France, Greece, Hungary, Ireland, Iceland, Poland, Portugal, Sweden, Slovakia;;;;97FF;The affected vehicles were manufactured between 10 March 2020 and 29 March 2021.;
Other types of alerts;Consumer;INFO/00120/21;Germany;United States;No;Injuries; ;Passenger car;300;Passenger car;Chrysler;Motor vehicles;e11*2001/116*0141*21, Type: LX;77000000 - Automotive;"Due to the use of defective materials, the crankshaft position sensor’s signalling is incorrect. 
As a result the engine may not be able to function.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;W90;The affected vehicles were manufactured between 31 May 2014 and 10 February 2020.;
Serious risk;Consumer;A12/00762/21;Portugal;France;No;Injuries;The product does not comply with the requirements laid down in the Regulation on the approval and market surveillance of Motor Vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Yaris HV;"Model (WMI): Yaris HV (VNK);
VIN Range: KBAC3# 0A000502 - 0A147621;
Model year: 2020~2021.";Toyota;Motor vehicles;e6*2007/46*0437*01;77000000 - Automotive;"The software of the Skid control ECU (Electronic Control Unit) which monitors and controls various functions related to the brake system may be defective.
As a result, the electronic parking brake could become inoperative, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Finland, Greece, Croatia, Ireland, Iceland, Poland, Romania, Sweden, Slovenia, Slovakia;;;;21SMD-039;The affected vehicles were manufactured between 6 July 2020 and 28 April 2021.;
Serious risk;Professional;A12/00806/21;France;United Kingdom;No;Fire;The product does not comply with the requirements laid down in the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Discovery (LR), Defender (LE);Passenger car;Land Rover;Motor vehicles;e5*2007/46*0125 e5*2007/46*0092 e5*2007/46*1055  e5*2007/46*1054;77000000 - Automotive;"The gasket fixings between the exhaust downpipe and the catalytic converter may not have been tightened to the correct torque and could become loose over time.
As a result,  hot exhaust gases could leak into the engine compartment, increasing the risk of fire.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 19/04/2021";Bulgaria, Denmark, Finland, Greece, Hungary, Ireland, Malta, Sweden, Slovenia;;;;N571;The affected vehicles were manufactured between 26 October and 2 November 2020, and on 12 March 2021.;
Serious risk;Consumer;A12/00805/21;Germany;Republic of Korea;No;Fire; ;Passenger car;VELOSTER, I40, I20, IX35, AVANTE, ACCENT;Passenger car;Hyundai;Motor vehicles;Types: FS, VF, PB, ELH, RB, MD, e11*2007/46*0194, e4*2007/46*0263, e11*2001/116*0333, e11*2007/46*0192, e4*2007/46*0251, e4*2007/46*0254;77000000 - Automotive;"The 12V socket may overheat when the compressor from the tyre repair kit is being used. 
This could increase the risk of fire.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, France, Croatia, Hungary, Luxembourg, Poland, Sweden, Slovenia;;;;01D062;The affected vehicles were manufactured between 1 January 2008 and 31 December 2012.;
Serious risk;Consumer;A12/00802/21;Germany;Germany;No;Fire; ;Passenger car;C-Class;Model series: BR 205, model with a large fuel tank.;Mercedes-Benz;Motor vehicles;e1*2001/116*0457*43 -*48, Type: 204K;77000000 - Automotive;"The left tank strap may not have been screwed correctly and could become loose, causing the fuel tank to come into contact and become damaged by the drive shaft. 
This might result in a fuel leak, leading to increased risk of fire and posing a risk to the following traffic.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, France, Portugal;https://www.mercedes-benz.de;;;4790011;The affected vehicles were manufactured between 22 and 24 January 2020.;
Serious risk;Consumer;A12/00821/21;Germany;Spain;No;Injuries; ;Passenger van / Light commercial vehicle;V-Class, Vito;Passenger van / Light commercial vehicle;Mercedes-Benz;Motor vehicles;"e1*2007/46*0457*26 - *27, e1*2007/46*0458*21, e1*2007/46*0459*14; Types: 639/2, 639/4, 639/5";77000000 - Automotive;"A brake caliper bracket on the front axle is not sufficiently stable.
This may lead to reduced service brake performance, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Estonia, Finland, France, Greece, Croatia, Hungary, Ireland, Luxembourg, Poland, Portugal, Sweden, Slovakia;;;;VS2BREMTRA;The affected vehicles were manufactured between 6 February and 10 March 2021.;
Other types of alerts;Consumer;INFO/00126/21;Germany;Germany;No;Injuries; ;Passenger car;Various models;CLA (BR 117), CLA (BR 118), GLA (BR 156), M-Class/GLE/GL/GLS (BR 166), GLE/GLS (BR 167), SLK/SLC (BR 172), A-Class (BR 176), A-Class (BR 177), AMG GT (BR 190), C-Class (BR 205), E-Class coupé/cabrio (BR 207), E-Class (BR 213), S-Class (BR 222), E-Class coupé/cabrio (BR 238);Mercedes-Benz;Motor vehicles;Types: 204 K,  204 AMG,  207,  212,  R1ES,  221,  R1EC,  245 G,  F2B,  204 X,  R1ECLS,  R1EAMG,  166,  204 X,  463,  463A, e1*2001/116*0431*37-61, e1*2001/116*0457*30-51, e1*2001/116*0464*17-22, e1*2001/116*0502*21, e1*2001/116*0501*24-48, e1*2007/46*1560*00-21, e1*2001/116*0335*30-46, e1*2007/46*1666*00-16,, e1*2001/116*0470*15-23, e1*2007/46*1912*00-09, e1*2001/116*0470*15-25, e1*2007/46*0598*18-26, e1*2007/46*1885*00-12, e1*2007/46*0548*09-20, e1*2007/46*1829*00-13, e1*2007/46*0233*11-19,, e1*2007/46*1909*00-09, e1*2001/116*0480*20-40, e1*2007/46*1818*00-11, e1*2007/46*1878*00-10, e1*2001/116*0480*31-40, e1*96/79*0064*36-38, e1*2007/46*1830*00-07;77000000 - Automotive;"The eCall function may not be available due to deactivated communication module. 
As a result, in the event of an accident it would not be possible to establish a voice connection with the emergency call centre, either automatically or by activating the SOS button, nor would it be possible to transmit vehicle data. In this case, it would not be possible to direct emergency services to the vehicle, which could increase the impact of the accident. ";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Ireland, Poland, Portugal, Romania;https://www.mercedes-benz.de;;;5499617;The affected vehicles were manufactured between 5 November 2015 and 30 October 2020.;B-Class (BR 246), B-Class/GLA/GLB (BR 247), GLC (BR 253), CLS (BR 257), AMG GT 4-door coupé (BR 290), GLE coupé (BR 292), EQC (BR 293) and G-Class (BR 463)
Serious risk;Consumer;A12/00854/21;Germany;Germany;No;Injuries; ;Passenger van / Light commercial vehicle;eSprinter;Passenger van / Light commercial vehicle;Mercedes-Benz;Motor vehicles;e1*2007/46*1760*02 - *04, Type: KL3A4;77000000 - Automotive;"The high-voltage battery module may be attached incorrectly. 
 As a result, it could become detached from the vehicle and fall onto the road, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";France, Hungary;;;;V3ESCRABAT (4794051);The affected vehicles were manufactured between 20 November 2019 and 8 September 2020.;
Serious risk;Consumer;A12/00856/21;Germany;Germany;No;Injuries; ;Passenger car;911 Carrera, GT, GT3;Passenger car;Porsche;Motor vehicles;e13*2007/46*0992*11, e13*KS07/46*1613*03, e13*KS07/46*0991*02, Types: 992, 991R, 991H;77000000 - Automotive;"The screw connections in the undercarriage may be inadequate.
This could lead to unstable driving conditions, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";France, Sweden;;;;AMA6;The affected vehicles were manufactured between 20 August 2019 and 27 January 2020.;
